GC	overallBiases	overallSkews	AT1	GC1	AT2	GC2	AT4	GC4	aaAvgCost	aaAvgCost_Aer_Het	aaAvgCost_An_Het	aaAvgCost_Aer_Phot	aaAvgCost_An_Phot
10.200001	45	-0.1	-0.046297632	-0.029093422	-0.3905365	-0.41664127	-0.09947044	-0.09962904	32.55846	38.60221	8.755416	39.174973	9.626492
10.200001	50	0.0	0.0677972	0.07332337	-0.29965058	-0.34109414	1.6358045E-4	0.01621932	31.395563	37.126827	8.888167	37.6099	9.597969
10.200001	55	0.1	0.1813429	0.17267023	-0.19243674	-0.23924884	0.10489837	0.113851994	30.34356	35.760265	9.051792	36.15871	9.617898
10.200001	60	0.2	0.29514152	0.26743767	-0.06957434	-0.118026614	0.19727567	0.19555476	29.382433	34.49386	9.213562	34.812202	9.649475
10.200001	65	0.3	0.40525576	0.3634292	0.06625476	0.008147769	0.29585707	0.29015747	28.586643	33.386826	9.42572	33.632587	9.749975
10.200001	70	0.4	0.5125197	0.45384017	0.20963159	0.15015428	0.40175295	0.39152235	27.969252	32.476013	9.634193	32.659603	9.868013
10.200001	75	0.5	0.61307883	0.5476103	0.36084902	0.2933138	0.5099615	0.51521295	27.547487	31.792795	9.869	31.92054	10.025307
10.200001	80	0.6	0.7078315	0.63678396	0.5099867	0.44847322	0.5994034	0.59587115	27.312515	31.320707	10.106974	31.402788	10.203368
10.200001	85	0.7	0.79545707	0.7263122	0.65286803	0.60070115	0.6961037	0.7041925	27.30197	31.10555	10.355079	31.152533	10.408061
10.200001	90	0.8	0.8736673	0.81559527	0.78382695	0.7480241	0.802508	0.80533755	27.48185	31.130417	10.600929	31.15109	10.623443
10.300001	10	-0.8	-0.79891205	-0.79094815	-0.83541757	-0.8349364	-0.8008668	-0.81281435	42.35533	50.255527	8.491648	51.58539	11.004051
10.300001	15	-0.7	-0.6972161	-0.68330044	-0.77179676	-0.770797	-0.7011977	-0.7041973	40.801014	48.47103	8.471504	49.674503	10.679423
10.300001	20	-0.6	-0.59433687	-0.5713492	-0.71162117	-0.7177431	-0.6073223	-0.6025116	39.2757	46.696926	8.465569	47.780643	10.397027
10.300001	25	-0.5	-0.4886197	-0.45816138	-0.65682095	-0.6660947	-0.49957868	-0.5180415	37.85293	45.02219	8.48765	45.995346	10.169251
10.300001	30	-0.4	-0.38071167	-0.35067296	-0.60065615	-0.6119493	-0.3976341	-0.39743453	36.44485	43.342834	8.514861	44.21003	9.967207
10.300001	35	-0.3	-0.2701849	-0.2403526	-0.5408716	-0.55474985	-0.2957104	-0.29867232	35.072063	41.69676	8.574336	42.460205	9.813649
10.300001	40	-0.2	-0.15885228	-0.13380764	-0.47154355	-0.48719567	-0.2003909	-0.22727273	33.74373	40.067986	8.655605	40.731018	9.698156
10.300001	45	-0.1	-0.047403563	-0.032435745	-0.38994077	-0.4166414	-0.097863734	-0.090837285	32.53534	38.56801	8.757628	39.138775	9.626415
10.300001	50	0.0	0.068338975	0.06979108	-0.2977921	-0.33263144	-0.0050914516	0.0135212885	31.34928	37.059696	8.884281	37.54018	9.589856
10.300001	55	0.1	0.18117106	0.17298923	-0.1899775	-0.23531616	0.1001985	0.07830755	30.331108	35.73501	9.038804	36.133217	9.604607
10.300001	60	0.2	0.29456866	0.26872474	-0.06937995	-0.12278331	0.19845341	0.190541	29.368814	34.464138	9.21506	34.782192	9.651015
10.300001	65	0.3	0.4048855	0.36195272	0.066755176	0.009557016	0.28957444	0.31080312	28.57256	33.36291	9.404831	33.608818	9.729258
10.300001	70	0.4	0.5114673	0.4548071	0.21142802	0.14879307	0.39493346	0.39566395	27.95124	32.44386	9.624192	32.626354	9.856509
10.300001	75	0.5	0.6132504	0.5455493	0.36233014	0.30012688	0.4925742	0.4959142	27.521757	31.749882	9.854825	31.877325	10.01121
10.300001	80	0.6	0.70837724	0.6360729	0.51087016	0.448611	0.60383433	0.6195652	27.295029	31.293232	10.098045	31.375343	10.194817
10.300001	85	0.7	0.7944483	0.72217196	0.6543953	0.61193097	0.6923346	0.6869565	27.301477	31.093279	10.3544035	31.140171	10.407387
10.300001	90	0.8	0.87312424	0.81615615	0.7852732	0.74726677	0.7981237	0.8011869	27.479464	31.107946	10.595982	31.128946	10.618686
