GC	skewAT1	skewGC1	skewAT2	skewGC2	skewAT4	skewGC4	costPerAA
20	0.0572925257745161	0.0777746826944367	-0.262829887740075	-0.340645213949028	0.00251735448928217	0.00255023972253392	29.104201947899
20.05	0.0581936537435086	0.0763188310669083	-0.263833101387843	-0.340396431706371	-0.00205269426681647	-0.00665993945509586	29.100629999685
20.1	0.0574590735650105	0.0773911187019641	-0.263057036785316	-0.33703086326211	-0.0016198157459589	-0.000943142010239828	29.1122323438838
20.15	0.0573124292991501	0.0785725454519609	-0.262161746617466	-0.340471828919004	0.000844337870242156	0.00706855161376367	29.0808067595966
20.2	0.057523245160913	0.0763636105611966	-0.264504909353935	-0.33682613532922	-0.000834464214971468	-0.00214118654676022	29.0728990635505
20.25	0.0580042351157054	0.077431575828339	-0.264805210159194	-0.339381401685252	0.000980696210489258	-0.00241394133791872	29.0634057182971
20.3	0.0577124416027683	0.0780456247149781	-0.262844324624677	-0.340614471765475	0.00313301053830817	-0.00222023395301057	29.0437482281259
20.35	0.0561902421519868	0.077473627799402	-0.261981585761848	-0.336587712879524	0.00138298674847243	0.00200862721854523	29.0561082219459
20.4	0.057066462398239	0.0754696462086264	-0.262032195644119	-0.336277221747221	-0.00187783239719911	0.00618273414243188	29.0355897322051
20.45	0.0576318050424739	0.0774406295508009	-0.261101499052648	-0.341900813139039	0.00374162727379023	0.00486308299879239	28.9989342505329
20.5	0.0569989614072108	0.0792976028582516	-0.263120708194625	-0.340131854123927	-0.00614470103023928	0.0048748781280468	29.0287596356202
20.55	0.0563439228598113	0.0783782462657905	-0.26154537217029	-0.336968744091628	-0.00166736140058358	0.000737297643853182	29.0083356458322
20.6	0.057369579643392	0.0764953740914326	-0.263688738471078	-0.338201398823716	0.00176679910747613	0.000703189925206162	28.9815488092256
20.65	0.0573324463799493	0.0761830166838796	-0.263035142200376	-0.335202975515643	-0.00549377593360996	0.00898669461115874	28.9744991127504
20.7	0.056337314251134	0.0790045871401065	-0.259433669671657	-0.336139124910665	0.00369606468113192	-0.00120918984280532	28.9570391214804
20.75	0.0559258695825404	0.0770860433580959	-0.260693383695833	-0.337599115245233	-0.000929834522369515	-0.000880392403471262	28.9537641731179
20.8	0.0557172363455655	0.0776633107807691	-0.26047436259632	-0.341949625299908	0.00339217494401265	0.00232909480045323	28.9335776332112
20.85	0.0557045597349186	0.0761194081246836	-0.259713712054899	-0.335959836121946	0.000973003281824628	0.00993086109365179	28.9779177610411
20.9	0.0562888174623405	0.0764058679706602	-0.261173354797668	-0.339079502825744	-0.00327209488250954	-0.0023220533143441	28.9188575405712
20.95	0.0550641644102788	0.078660921626787	-0.260582371063649	-0.341631844309733	0.00303851523363718	-0.00284213778189682	28.9112583943708
21	0.0559625905970062	0.0775405087848731	-0.260260075384924	-0.334981943790234	0.00244570774201464	0.00929959526678407	28.910489944755
21.05	0.0544402783881414	0.0782731737846773	-0.258207492074086	-0.343170237462866	-0.000651359713401726	0.00231509686852687	28.8871232564384
21.1	0.0569754024380491	0.0773382823307875	-0.260751887556496	-0.339204384758672	-0.00381383269769455	-0.00281001832620648	28.8610772694614
21.15	0.055784024283754	0.0789259450218447	-0.259137950880571	-0.341908721773762	0.00108381208491219	0.00472870566838436	28.8667999166
21.2	0.0543657880076846	0.0777957805792993	-0.256449806995153	-0.337840069155084	0.00351569828619905	0.000181071945919845	28.8682757658621
21.25	0.0560576289294227	0.0788701220705431	-0.258326963550883	-0.338087558051416	0.00290948100710303	2.99230976390676e-05	28.846592076704
21.3	0.0561994610568244	0.0744221334277477	-0.25756654470735	-0.342030640587649	0.00356644943747366	0.00439816892559016	28.8282493358753
21.35	0.056794325886111	0.0772573053145409	-0.257591117040554	-0.337819545964342	0.00349850929569271	-8.92564934098956e-05	28.8119744940128
21.4	0.0547123220447818	0.0765313974105918	-0.255653221897638	-0.337067653871127	0.00104276972572731	-0.0047376311844078	28.8191881404059
21.45	0.0572332542619675	0.0743677338699434	-0.25575363473988	-0.34295577586953	0.00204229315751387	0.00680795642907885	28.7682591158705
21.5	0.0557002746994496	0.0762597322849887	-0.258867471275873	-0.338583582432743	0.0010224537279307	0.00026505669268149	28.8042682478659
21.55	0.0559146820067371	0.0775714614376644	-0.259469437265967	-0.340069586768981	0.000168980084490042	0.0092070265688481	28.7849964075018
21.6	0.0572092244590466	0.0784523932012573	-0.257175103104201	-0.339088417574652	-0.0039996787406634	0.00304592314901593	28.7735190132405
21.65	0.0564885144729256	0.0759482344363618	-0.25731336019109	-0.338208479683691	-0.00693756194251734	0.00216731686172518	28.7509605245197
21.7	0.0553691644011854	0.0764020195184736	-0.257493033268619	-0.337788497287816	0.00397057761877642	-0.0033724851726945	28.7595846202077
21.75	0.0564343176190891	0.0772768755827477	-0.255080454894892	-0.337884936739079	-0.000405544025382285	0.00161030595813205	28.7141568429216
21.8	0.0564437057272141	0.07851235589723	-0.257914506401439	-0.33789780410231	-0.00307407318689567	-0.00780417566594672	28.7184751907624
21.85	0.0543873939312511	0.0744844962387714	-0.255951624518151	-0.335381269020521	0.000862523360007667	-0.00230041748317287	28.7249809875095
21.9	0.0559519283882526	0.0786133116574511	-0.255633449510648	-0.337813466977998	-0.00188269832152658	-0.00292688471484186	28.7145040927479
21.95	0.0551154094621239	0.07525051439826	-0.254459325106731	-0.341466201931318	0.00470612428913795	-0.00426894343649947	28.6820973589513
22	0.0557067961491854	0.0762623429816209	-0.254176738044786	-0.341621224535925	0.00102529864803643	-0.00278865384073688	28.6988891005554
22.05	0.0529270206368514	0.0761749243009449	-0.251434770903139	-0.339897332323487	-0.00086215760873864	0.00200892857142857	28.6844325577837
22.1	0.0562909688255208	0.0786538030356696	-0.256878628756831	-0.33490406638381	-0.00164728989134222	-0.00559507408552872	28.6609335695332
22.15	0.0551291718092478	0.0785500256741913	-0.257617150395072	-0.342763691258282	0.00108984078847612	0.00345500139314572	28.6562757718621
22.2	0.0547094106004028	0.0778941105714822	-0.25816363675296	-0.339546320541337	0.000695366331626525	-0.00163177254750118	28.6700405149797
22.25	0.0554702059477238	0.0789515273293748	-0.253807120148841	-0.338280824873811	0.000158072776706396	2.75869679163563e-05	28.6305017347491
22.3	0.0543353065369326	0.0775599815862244	-0.253837236386612	-0.335516983949235	0.00312147069895846	-0.0118936694984927	28.6107296446352
22.35	0.055234319885857	0.0780503753469796	-0.253683462307042	-0.336424494660298	-0.002353273403304	-0.000109200109200109	28.6097466951267
22.4	0.0554835161348324	0.0776434116471523	-0.253272033123622	-0.341574289706567	-0.00358321989078221	-0.00368783556592006	28.5942662528669
22.45	0.05433097939644	0.0750052847689755	-0.253897484271659	-0.336744985245228	-0.000509081225867592	0.00255782019870224	28.5931549034226
22.5	0.0544055625816898	0.079063669214288	-0.251977316015453	-0.344088217275883	-0.00053168199161819	-0.00621285791464074	28.6024241487879
22.55	0.054791792037836	0.0765876469069454	-0.251940468944417	-0.337211020016249	-0.0046120413363976	-0.00171242039920801	28.5765323617338
22.6	0.0549938624814231	0.0791899565820802	-0.254008010623252	-0.339801365269241	0.00272700990006173	0.00711905079322757	28.567614116193
22.65	0.053234816778101	0.0772502535496957	-0.251636927683332	-0.33794032439614	0.00178913141559189	-0.00544445329721403	28.5347173326413
22.7	0.0544957970700545	0.0792501132687622	-0.252731001727116	-0.346448589543324	-0.000552017975571261	0.00400590343664347	28.5463924268038
22.75	0.0551071184985775	0.075819846913471	-0.25386640831978	-0.337122779908575	0.000698703516807701	0.00120887206979922	28.5233536383232
22.8	0.0540495975029973	0.0796219709716478	-0.25067892944831	-0.339976188295631	-0.00208503868905123	0.00325373917606927	28.5155054922473
22.85	0.0535762549186939	0.0779364789344691	-0.25408165477765	-0.337710060088811	-0.00166214408856522	0.00398738630736754	28.4832078083961
22.9	0.0533830091003679	0.0783910773462406	-0.253531215237268	-0.338203187540936	0.00240317529225712	0.000417188151856487	28.5303608848196
22.95	0.0544987206798034	0.077110791872377	-0.25048818974625	-0.341682676623047	0.00185605914744503	0.0110383340727017	28.4801658099171
23	0.0545629718680326	0.0773371175654218	-0.251534176223533	-0.34017873426956	-0.000362176449283738	-0.00304500412881916	28.4613705193147
23.05	0.0546092809438552	0.0759266372491154	-0.253513151518781	-0.335136119457343	-0.00229448165573505	-0.00237566097018929	28.4808801095599
23.1	0.0544790339685771	0.0766165560996566	-0.251190446953138	-0.337431334271576	-0.00525626204238921	0.00328922206073587	28.4585926707037
23.15	0.0534577458997572	0.0777619489010681	-0.252084981045627	-0.336875606372465	0.00309430709073555	-0.00382947427151226	28.4556727721636
23.2	0.0541987368988268	0.0756935028993556	-0.252723157062209	-0.340981240981241	0.00368455321919645	0.00367842918389609	28.4481771259114
23.25	0.0536643415614519	0.077653947690127	-0.250469048283256	-0.340326235925365	-0.00253983266087514	0.00463387310316733	28.4338411830794
23.3	0.0528977722462086	0.0786687957385681	-0.253518810839253	-0.342750004507022	0.000489102191789197	0.00342354499337781	28.4097664951168
23.35	0.0536294360517734	0.0771065329791889	-0.249360926306772	-0.337774900649152	0.00063316728584833	0.00374700239808153	28.4167084916457
23.4	0.0529585925767003	0.0759464153120148	-0.250372103496949	-0.341589155670921	-0.00417990302624979	0.0052197255915689	28.4123853438073
23.45	0.052954555207484	0.0784121711849162	-0.249525264711298	-0.342336464468616	0.00156265483622615	0.00243502459871789	28.3893567553216
23.5	0.0540466327579142	0.0764397007028762	-0.249667376447222	-0.340051859178273	0.000144399942240023	0.000961562168692522	28.4039644980177
23.5500000000001	0.0531291310656134	0.0776068084276239	-0.249213949229394	-0.342710101581656	-0.00460432307378258	0.00507986128071118	28.3398426800787
23.6000000000001	0.0539738025104044	0.0778239114234004	-0.247086645425179	-0.345424626171568	-0.00159059213749953	0.00929855982727741	28.331669934165
23.6500000000001	0.0529208645789283	0.0777004341841804	-0.248452975430098	-0.337501226288048	-0.00150083337732761	-0.00904778207071942	28.3593915703042
23.7000000000001	0.0525227946493326	0.075530622692204	-0.247529672914613	-0.340690219372738	0.000859352621025494	0.000918273645546373	28.3346913826543
23.7500000000001	0.0528778550833242	0.0785066104129917	-0.250466083266156	-0.343257302921168	-0.0027177605652942	4.8374613003096e-05	28.3275149362425
23.8000000000001	0.0531627988729284	0.0770787093657049	-0.248916789485932	-0.344089357741235	-0.00120619986731801	0.000601004880159627	28.3236965381517
23.8500000000001	0.0524280393113182	0.0746067144837562	-0.250156071818008	-0.339975690039127	-0.00427604139268188	-0.000785060068990127	28.320641939679
23.9000000000001	0.0536812845769802	0.0759747784081504	-0.24801664571117	-0.344167314350314	0.00063013863049871	-0.00538419201225203	28.2787550606225
23.9500000000001	0.0529059042583064	0.0783079228838503	-0.249757774131665	-0.338081428659574	0.00342234430584951	0.00286656155940949	28.274111962944
24.0000000000001	0.0541304077741226	0.07805643386994	-0.248049394084803	-0.336272806638507	0.00322718963688475	-0.00185281961138296	28.2733538633231
24.0500000000001	0.0526431925339668	0.0789412966808398	-0.246277294277383	-0.337230421978875	-0.00266698630547481	0.00263926854557451	28.2574795212602
